question,context
Wie kann falsches Heben von Gewichten die Bandscheiben belasten?,"steht aus einem zwiebelschalenförmig aufgebauten Ring aus kollagenen Fasern,
der den zentral gelegenen Gallertkern umhüllt. 
Zu hohen Druckbelastungen der Bandscheibe kommt es beim falschen Aufheben
von Gewichten. Die Festigkeit des Faserringes nimmt bereits durch Abnützungser-
scheinungen ab dem 25. bis 30. Lebensjahr ab. Hinzu kommt, daß der Gallertkern
bei einseitiger Verformung der Bandscheibe in Richtung des geringsten Druckes,
zum Beispiel beim krummen Bücken, Heben und Sitzen nach hinten ausweicht. 
Abb. III - 3: Belastungen der Bandscheiben beim Bücken
18
falsch richtig
Nerven"
"""Welche Maßnahmen werden empfohlen, um Infektionskrankheiten vorzubeugen?""","137
o Zähneputzen nach jeder Mahlzeit
o sorgsamer, reinlicher Umgang mit der Nahrung
o Vermeiden von Menschenansammlungen in Grippeepidemiezeiten
o Vorsichtsmaßnahmen beim Kontakt mit ansteckend Erkrankten
o rasche Maßnahme bei Ungezieferbefall
o Überdenken der ganz persönlichen Umweltschädigung (Düngemethoden,...)
o genaues Befolgen der veterinärmedizinischen und/oder gesetzlichen Ver-
ordnungen
o zeitgerechte Impfungen und Auffrischungsimpfungen
o Vermeiden schädigender Lebensweisen (Fett, Alkohol, Nikotin,...)
o regelmäßige Vorsorgeuntersuchungen
o Schutzmaßnahmen bei der Ersten Hilfe
o Schutzmaßnahmen beim Geschlechtsverkehr mit nicht sehr gut bekannten
Partner"
"Wie wird der ADI-Wert berechnet, wenn der NOEL-Wert auf subchronischen Untersuchungen beruht?","als „NOEL“ ermittelte Dosis in Relation zum Körpergewicht der Versuchstiere
gesetzt und durch einen Sicher heitsfaktor dividiert. Der Sicherheitsfaktor beträgt
100, wenn der NOEL-Wert auf chronische Untersuchungen beruht; er beträgt 1000
bis 2000, wenn subchronische Untersuchungen vorliegen.
Aus dem ADI-Wert wird schließlich unter Berücksichtigung eines dur chschnittli-
chen Körpergewichtes eines erwachsenen Menschen von 70 kg und der durch-
68"
"""Welche Aufgaben hat der UVD-Sicherheitsausschuss in der Sozialversicherungsanstalt der Bauern?""","6. di e Zusammenarbeit mit Einrichtungen und Organisationen, zu deren
Aufgaben der Transport von Verletzten (Erkrankten) gehört.
Die Unfallversicherungsträger haben einen Unfallverhütungsdienst einzurichten
und die erfor derlichen fachkundigen Organe zu bestellen (§ 187 ASVG).
Die Träger der Unfallversicherung haben in Fragen, die mit der Unfallver hütung
zusammenhängen, mit den zuständigen Behörden und den öf fentlich-rechtlichen
Interessensvertretungen der Dienstnehmer und der Dienstgeber zusammenzuar-
beiten. Sie sind vor der Erlassung oder Abänderung von Vorschriften, die der
Unfallverhütung dienen, zu hören (§ 188 ASVG).
Durchführung der Sicherheitsarbeit in der Sozialversicherungsanstalt
der Bauern
1. UVD-Sicherheitsausschuß
Die Arbeit der Sicherheitsberatung wird von einem Unterausschuß des Vorstandes -
dem UVD/Sicherheitsausschuß - begleitet. Insbesondere werden der jeweilige Ar-
beitsplan und Tätigkeitsbericht beraten sowie „sicherheitspolitisch“ relevante The-"
Welche Klasse von Gasfiltern ist in der Regel für Ammoniakdämpfe in Stallungen ausreichend?,"b) Zur Absorption von Ammoniakdämpfen werden Gasfilter, bestehend aus
Kohlefilter, verwendet. Analog zu den Partikel-Filtermasken wer den die G asfilter
in Europanormen in 3 Klassen eingeteilt:
Tab. III - 15
Für die Ammoniakdämpfein Stallungen ist die Klasse A1in der Regel ausreichend.
c) Als dritte Variante für den Atemschutz kommt der Atemschutzhelm in Frage.
Vom Hinterkopf wird Luft mit einem batteriebetriebenen Ventilator über den
Vorfilter angesaugt und über einen Hauptfilter an die Vorderseite des Helmes ein-
geblasen, sodaß die gefilterte Luft aus dem Helminnenraum eingeatmet wird.
Helmbedingte erhöhte Atemwiderstände fehlen hier.
Als nachteilig wird 
das Gewicht des Helmes, 
das Ventilatorgeräusch, 
der kalte Luftstrom auf der Kopfhaut bei kälteren Außentemperaturen und 
die Sichtbehinder ung des Visierglases und 
die Möglichkeit des Anlaufens des Visierglases durch Kondenswasser empfunden.
Der vom Ventilator erzeugte Luftstrom beträgt 120 bis 150 l/min und der Se-"
Welche Publikationen behandeln das Thema der Farmerlunge oder verwandte Atemwegserkrankungen in der Landwirtschaft?,"10. Ebner H. et al
Beitrag zur Kenntnis der Farmerlunge
Wiener klin. Wochenschrift (1981) 93: S. 729 - 33
11. Edwards J. H.
Allergie Dust deseases in Agriculture
Joint Conference of Ergonomie, Society and the Agricultural Manpower Society Sept. 1980
12. Emanuel D. A. et al
Organic Dust Toxic Syndrom (Pulmonary Mycotoxicosis) - A Review of the Experience in
Central Wisconsin.
in „Principles of Health and Safety in Agricultur e“, S. 72 - 75
13. Feldner H.
Allergologische Diagnostik berufsbedingter Atemwegs- und Lungenerkrankungen
Angewandte Arbeitsmedizin (1986), 1: 471 - 476, Verlag Wilhelm Maudrich
14. Feldner H.
Exogen allergische Alveolitis vom Typ der Far merlunge
Angewandte Arbeitsmedizin Band I 1986, S 477 - 483
15. Fruhmann G.
Berufsbedingte exogen allerg. Alveolitiden, ASP , Übersichten zur neuen BK-Liste 5/88, S. 109 -
114
16. Gassner M.
Allergien in der Landwirtschaft
Schweiz-Rundsch.-Med. Prax. (1996), 85: S. 950 - 60
17. Gassner M. et al
Warum sterben Bauern häufiger an Lungenkrankheiten"
Wie können feucht gelagerte Materialien in der Landwirtschaft das Bronchopulmonalsystem beeinflussen?,"51
Feucht gelagerte Materialien mit
Schimmelbildung in der Landwirtschaft
Laub, Holzhackschnitzel, Reisig,
Heu, Stroh, Getreide, Sägemehl
Schimmelige Wände (Keller, Silo),
schimmelige Pflanzen und Pflanzenteile.
Pathogenese von Reaktionsformen des Bronchopulmonalsystems
unspezifisch irritativ toxisch spezifisch allergisch
nicht immunolog. immunologische Reaktion
Rhinitis Bindehautentzündung
einfache Bronchitis Rhinitis
chronische Bronchitis mit exogen allergisch es Asthma bronchiale
obstruktiver Ventilationsstörung
Staubfieber („Organic dust Exogen allergische Alveolitis vom Typ
toxic“-Syndrom) der Farmerlunge"
"""Welche Anlässe können zu einer Sicherheitsberatung auf einem Bauernhof führen?""","Insgesamt werden derzeit 12 Hauptgruppen chif friert und bei Vorliegen einer aus-
reichenden aussagefähigen Anzahl von Daten ausgewertet. 
Die Erkenntnisse dieser Analysen s tellen wiederum we rtvolle Argumentationshil-
fen für die Sicherheitsarbeit dar und lassen mittelfristig Aufschlüsse über T enden-
zen im Unfallgeschehen erkennen.
3. Sicherheitsberatungen auf Bauernhöfen
Der Anlaß für eine Sicher heitsberatung am Bauernhof kann vielfältig sein. Zum
einen sind es die „Unfallbetriebe“, bei denen ein Unfall erhoben wird, zum ande-
ren sind es eine Reihe von Anlässen, wie Dir ektvermarkterbetrieb, 
Urlauberhof, Meisterbetrieb und Aktionsbetrieb der verschiedensten Art, bzw. der
Betriebsführer ersucht von sich aus um eine Sicher heitsberatung.
Zwecks Ef fizienzsteigerung wird bei Vorhandensein von quantitativ oder qualita-
tiv bedeutenden Gefahrenquellen eine Nachberatung vereinbart.
Bei den Sicherheitsberatungen werden insbesondere di e bau-, maschinen- und"
"""Welche Maßnahmen wurden in den letzten 16 Jahren ergriffen, um die Lebensqualität von Bauern mit Bronchopulmonalerkrankungen zu verbessern?""","Verbesserung der dort herrschenden Luftqualität. Auch hier gab es technologische
Entwicklungen und je größer die Stallungen für Intensivtierhaltungen sind, desto
wichtiger ist für Tiere und den dort arbeitenden Menschen die Effizienz solcher
Anlagen.
Ist der Erkrankte bei der Arbeit stärkeren Inhalativbelastungenausgesetzt, so sind
alle arbeitserleichternden Rationalisierungsmaßnahmen erwünscht, um die An-
strengung bei der Arbeit zu r eduzieren. Nur so ist die Akzeptanz von Atemschutz -
einrichtungen gewährleistet und die Tragedisziplin erhöht.
Die SVB hat in den letzten 16 Jahren viel für die medizinische und berufliche Re-
habilitation der Bauern, die an Bronchopulmonalerkrankungen leiden, unter-
nommen und damit deren Lebensqualität wesentlich verbessert. (6, 7)
Literaturnachweis
1. Aigner K. et al
Diagnosegang der Alveolitis - Stand des Wissens
Acta Medica Austriaca, (1994), 21: 95 - ff
2. Baur X.
Exogen allergische Alveolitis als Berufskrankheit: Krankheitsursachen, klinische Befunde und
Diagnostik"
Welche Arbeiten im Gartenbau sind mit ähnlichen Belastungen verbunden wie im Weinbau?,"haltungen verrichtet werden, z.B. beim halbmechanischen Setzen von Jungpflanzen.
Die Belastungen durch Kulturpflegearbeiten sind ähnlich denen des Weinbauern.
Ebenso verbreitet ist die Exposition gegenüber chemischen Pflanzenschutzmitteln.
Der Gartenbau läßt sich arbeitszeitlich gut strukturieren, während es bei Acker-,
10"
"Welche Symptome treten beim ""Organic dust toxic syndrome"" auf?","werden über den Abtransport durch Makrophagen Mykotoxine und Endotoxine
resorbiert. Krankheitsgefühl, Gliederschmerzen und Fieberreaktionen mit Schüttel-
frost sind die Folge. Begleitet werden diese Symptome mit einer beträchtlichen
Leukozytose. Obwohl es interindividuelle Unterschiede gibt, ist der Schweregrad
der Symptome von der inhalierten Staubmenge abhängig. Da die Symptome erst
nach einer gewissen Latenzzeit auftreten, sind sie zunächst nicht von den Symp-
tomen einer akuten exogen allergischen Alveolitis zu unterscheiden. Beim „Orga-
nic dust toxic syndrome“ fehlen jedoch bleibende Lungenfunktionseinschränkun-
gen. (12, 25, 29)
2. Allergische Reaktionen auf organische Stäube
In der Pathogenese von Aller gien kennen wir heute 4 - 5 Wege von aller gischen
Reaktionen:
Typ I Anaphylaxie oder Reagintyp (Soforttyp)
IgE - ver mittelt
Typ II Zytotoxische Reaktionen
IgG - gegen Zelloberflächen
Typ III Arthustyp (verzögerter Typ)
IgG - präzipitierende Antikörper
Typ IV Zelluläre Immunantwort (Tuberkulintyp)"
